PLAYER_NAME,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT
AJ Green,76,190.0
Alperen Sengun,83,243.0
Bogdan Bogdanović,77,225.0
Chris Mañon,76,209.0
Chris Youngblood,76,
David Jones Garcia,76,210.0
Dennis Schröder,73,175.0
Egor Dëmin,80,200.0
Hugo González,78,200.0
Jahmyl Telfort,79,
Jaylen Wells,79,
Jonas Valanciunas,83,265.0
Jusuf Nurkić,83,290.0
Karlo Matković,82,231.0
Kasparas Jakučionis,77,200.0
Kristaps Porziņģis,86,240.0
LJ Cryer,72,
Lawson Lovering,84,
Luka Dončić,80,230.0
Moussa Diabaté,82,210.0
Nikola Jokić,83,284.0
Nikola Jović,82,205.0
Nikola Topić,78,200.0
Nikola Vučević,81,265.0
Nolan Traore,75,185.0
Pacôme Dadiet,81,210.0
Skal Labissiere,82,235.0
Terrence Shannon Jr,78,215.0
Tidjane Salaün,82,207.0
Tolu Smith,83,
Tristan da Silva,80,217.0
Vít Krejčí,80,195.0
Yanic Konan Niederhäuser,83,242.0
