FinalistRank,Player,runs_eligible,average_rank,median_rank,average_rank_pct,median_rank_pct,rank_sd,best_rank,worst_rank,wins,top5,top10,top10pct,eligibility_rate,wins_rate_when_eligible,top5_rate_when_eligible,top10_rate_when_eligible,top10pct_rate_when_eligible,team,pos,minutes
1,Jaylon Tyson,10000,4.1187,3.0,0.008382558351163916,0.005390835579514825,3.970489489808386,1,51,2719,7446,9364,9994,1.0,0.2719,0.7446,0.9364,0.9994,CLE,SG,1777.0
2,Tristan Da Silva,10000,5.4043,3.0,0.014029218718867678,0.006153846153846154,5.666873287385695,1,45,3253,6505,8322,9973,1.0,0.3253,0.6505,0.8322,0.9973,ORL,SF,1899.0
3,Quentin Grimes,10000,6.389,5.0,0.016212953544668885,0.012307692307692308,4.081120502319849,1,43,205,5152,8673,9993,1.0,0.0205,0.5152,0.8673,0.9993,PHI,SG,2206.0
4,Kevin Huerter,10000,7.8402,6.0,0.02204318558755861,0.013477088948787063,6.620698401583665,1,58,921,4785,7323,9894,1.0,0.0921,0.4785,0.7323,0.9894,2TM,SF,1549.0
5,Cedric Coward,10000,8.9822,7.0,0.02196780738713936,0.016172506738544475,8.395840170776081,1,94,1512,4419,6578,9930,1.0,0.1512,0.4419,0.6578,0.993,MEM,SG,1598.0
6,Kelly Oubre Jr.,10000,10.7996,9.0,0.029315710045867974,0.02214022140221402,7.5456831084639,1,104,193,2617,5811,9827,1.0,0.0193,0.2617,0.5811,0.9827,PHI,SF,1574.0
7,Kyle Kuzma,10000,10.4914,9.0,0.02677190569160038,0.02425876010781671,6.412147659229328,1,86,50,2274,5801,9974,1.0,0.005,0.2274,0.5801,0.9974,MIL,PF,1806.0
8,Moses Moody,10000,11.6569,10.0,0.02969008026357625,0.026954177897574125,7.022942016096671,1,73,31,1746,5150,9950,1.0,0.0031,0.1746,0.515,0.995,GSW,SG,1540.0
9,Naji Marshall,10000,13.925,12.0,0.035576229838381435,0.029649595687331536,10.165200840653025,1,116,80,1463,4366,9770,1.0,0.008,0.1463,0.4366,0.977,DAL,SF,2184.0
10,Brandin Podziemski,10000,13.8085,12.0,0.034024813991373824,0.030209413228281155,10.709318218246656,1,107,207,2464,4461,9787,1.0,0.0207,0.2464,0.4461,0.9787,GSW,SG,2333.0
