Player,adv_astpct,adv_blkpct,adv_bpm,adv_drbpct,adv_ftr,adv_orbpct,adv_stlpct,adv_tovpct,adv_tspct,adv_usgpct,age,ast_2p_rate,ast_3p_rate,corner3_share,dunk_fga_rate,height_in,minutes,minutes_per_game,p100_pts,pos,pos_cpct,pos_pfpct,pos_pgpct,pos_sfpct,pos_sgpct,shot_0_3_freq,shot_10_16_freq,shot_16_3p_freq,shot_3_10_freq,shot_3p_freq,team,weight_lb
Luka Dončić,40.5,1.4,9.3,22.5,0.443,2.2,2.2,12.8,0.616,38.1,26.0,0.219,0.382,0.058,0.003,,2289.0,35.8,45.7,PG,0,0,86,0,14,0.076,0.186,0.063,0.198,0.476,LAL,
Shai Gilgeous-Alexander,35.0,2.3,11.7,11.7,0.465,1.9,2.0,8.7,0.665,33.4,27.0,0.183,0.27,0.054,0.015,78.0,2259.0,33.2,45.3,PG,0,0,100,0,0,0.228,0.273,0.101,0.173,0.226,OKC,195.0
Anthony Edwards,17.6,2.0,4.5,13.4,0.355,1.9,1.9,10.9,0.617,31.5,24.0,0.302,0.561,0.089,0.045,76.0,2137.0,35.0,39.3,SG,0,1,1,34,64,0.18,0.15,0.104,0.149,0.418,MIN,225.0
Jaylen Brown,25.9,1.1,3.3,18.1,0.347,3.7,1.5,12.7,0.573,36.2,29.0,0.324,0.536,0.119,0.027,78.0,2443.0,34.4,42.2,SF,0,23,0,64,13,0.16,0.171,0.145,0.262,0.262,BOS,223.0
Tyrese Maxey,28.9,1.9,5.4,11.0,0.278,1.0,2.4,9.2,0.588,29.4,25.0,0.378,0.595,0.077,0.021,74.0,2661.0,38.0,35.9,PG,0,0,98,0,3,0.232,0.094,0.073,0.203,0.399,PHI,200.0
Kawhi Leonard,21.0,1.2,8.0,18.6,0.331,4.1,2.9,8.4,0.629,33.5,34.0,0.33,0.57,0.092,0.044,78.0,2085.0,32.1,43.3,SF,1,30,0,67,3,0.128,0.204,0.109,0.205,0.354,LAC,225.0
Donovan Mitchell,27.9,0.8,5.1,12.4,0.306,2.4,2.1,11.1,0.613,32.2,29.0,0.275,0.607,0.12,0.014,74.0,2342.0,33.5,40.1,SG,0,2,19,25,54,0.189,0.113,0.067,0.192,0.439,CLE,215.0
Nikola Jokić,50.3,2.2,14.2,30.4,0.424,10.0,2.0,15.3,0.67,30.4,30.0,0.564,0.804,0.061,0.019,,2265.0,34.8,38.8,C,100,0,0,0,0,0.216,0.11,0.04,0.374,0.261,DEN,
Giannis Antetokounmpo,38.7,2.3,9.5,27.4,0.597,10.7,1.6,13.2,0.658,37.0,31.0,0.475,0.867,0.022,0.247,83.0,1039.0,28.9,47.0,PF,29,62,0,9,0,0.61,0.064,0.09,0.161,0.075,MIL,243.0
Joel Embiid,21.7,3.6,4.9,20.0,0.481,6.7,0.8,11.4,0.605,33.5,31.0,0.608,0.868,0.05,0.024,84.0,1201.0,31.6,41.0,C,100,0,0,0,0,0.224,0.221,0.178,0.149,0.228,PHI,270.0
