Rank,Player,basic_v2,team,pos,minutes,minutes_per_game,games
1,Gui Santos,0.13296894202847984,GSW,PF,1395.0,20.5,68.0
2,Kyle Kuzma,0.14112994020200478,MIL,PF,1806.0,26.2,69.0
3,Jarace Walker,0.19963750133471198,IND,PF,1953.0,25.7,76.0
4,VJ Edgecombe,0.2043146515637365,PHI,SG,2623.0,35.0,75.0
5,Tobias Harris,0.20633151455717025,DET,PF,1746.0,27.7,63.0
6,Naji Marshall,0.23142230540174696,DAL,SF,2184.0,29.5,74.0
7,Brandin Podziemski,0.23639066321580368,GSW,SG,2333.0,28.5,82.0
8,Bilal Coulibaly,0.23733377045039458,WAS,SG,1468.0,26.2,56.0
9,Kevin Huerter,0.2692954910181548,2TM,SF,1549.0,22.4,69.0
10,Khris Middleton,0.2695677166984766,2TM,SF,1439.0,22.8,63.0
11,Jaylon Tyson,0.2797927202231543,CLE,SG,1777.0,26.9,66.0
12,Simone Fontecchio,0.28476850104222756,MIA,SF,1173.0,16.8,70.0
13,Nikola Jović,0.29695147016984186,MIA,PF,808.0,17.2,47.0
14,Jordan Miller,0.30650673236306525,LAC,SF,1325.0,22.1,60.0
15,Andrew Wiggins,0.3284875424772182,MIA,SF,2063.0,30.3,68.0
16,Cedric Coward,0.3566912014602798,MEM,SG,1598.0,25.8,62.0
17,Buddy Hield,0.3650329059240659,2TM,SG,819.0,16.1,51.0
18,Gary Payton II,0.3717108672193196,GSW,SG,1142.0,15.6,73.0
19,Miles Bridges,0.3763831994721077,CHO,PF,2387.0,31.0,77.0
20,Kenrich Williams,0.3796815845197527,OKC,PF,855.0,15.3,56.0
21,Ousmane Dieng,0.3809953872155432,2TM,C,1099.0,19.3,57.0
22,Paul George,0.38689096326924505,PHI,PF,1135.0,30.7,37.0
23,De'Anthony Melton,0.3934054513614826,GSW,PG,1125.0,23.0,49.0
24,Santi Aldama,0.3965971005510452,MEM,PF,1198.0,27.9,43.0
25,De'Andre Hunter,0.4214279279431243,2TM,SF,1176.0,26.1,45.0
26,Peyton Watson,0.42463560575902437,DEN,SF,1598.0,29.6,54.0
27,Quentin Grimes,0.4313433649677286,PHI,SG,2206.0,29.4,75.0
28,Tyrese Martin,0.43442783486074366,2TM,SG,777.0,16.9,46.0
29,Jay Huff,0.4368174961938303,IND,C,1719.0,21.0,82.0
30,Sandro Mamukelashvili,0.44082891863904716,TOR,C,1751.0,21.9,80.0
31,Jaden McDaniels,0.44247151772975085,MIN,PF,2316.0,31.7,73.0
32,Anthony Black,0.4448955994116033,ORL,PG,1910.0,29.8,64.0
33,Onyeka Okongwu,0.4478520986763137,ATL,C,2297.0,31.0,74.0
34,Jordan Goodwin,0.44896597300618085,PHO,PG,1572.0,22.5,70.0
35,Saddiq Bey,0.4569589074692124,NOP,SF,2246.0,31.2,72.0
36,Kyshawn George,0.4668287071744955,WAS,SF,1391.0,29.0,48.0
37,Danny Wolf,0.46973334408308653,BRK,PF,1187.0,20.8,57.0
38,Will Riley,0.47099934397699433,WAS,SF,1633.0,22.1,74.0
39,Aaron Wiggins,0.4809332528256904,OKC,SG,1414.0,21.8,65.0
40,Jeremiah Fears,0.48412082672571244,NOP,PG,2112.0,25.8,82.0
41,Devin Vassell,0.48483640677579526,SAS,SG,2044.0,30.5,67.0
42,Mikal Bridges,0.48572654768058904,NYK,SF,2692.0,32.8,82.0
43,Amen Thompson,0.49108028049289876,HOU,PG,2953.0,37.4,79.0
44,Pelle Larsson,0.4930859671300002,MIA,SG,1849.0,26.4,70.0
45,Christian Braun,0.4933295385826986,DEN,SG,1399.0,31.8,44.0
46,Ausar Thompson,0.49336571557027886,DET,SF,1896.0,26.0,73.0
47,OG Anunoby,0.4962724596333378,NYK,PF,2224.0,33.2,67.0
48,Quinten Post,0.49764066890399083,GSW,PF,1159.0,17.3,67.0
49,Jonathan Kuminga,0.498952553714235,2TM,PF,830.0,23.1,36.0
50,Naz Reid,0.49918430867472235,MIN,C,2007.0,26.1,77.0
51,Matas Buzelis,0.5049895331762405,CHI,PF,2248.0,29.2,77.0
52,Aaron Gordon,0.5071856552805835,DEN,PF,1005.0,27.9,36.0
53,Royce O'Neale,0.5098020895959882,PHO,SF,2213.0,28.4,78.0
