Rank,Player,physical_distance,team,pos
1,Tyrese Martin,0.09423563553377028,2TM,SG
2,Desmond Bane,0.16036342876026524,ORL,SG
3,Keldon Johnson,0.16067686649308013,SAS,SF
4,RJ Barrett,0.17813968119149481,TOR,SF
5,Jalen Wilson,0.2196087173547746,BRK,PF
6,Corey Kispert,0.2496902129829601,2TM,SF
7,Saddiq Bey,0.272772827638457,NOP,SF
8,Jarred Vanderbilt,0.2735826624555347,LAL,PF
9,Herbert Jones,0.27366806043931435,NOP,SF
10,Aaron Nesmith,0.27693096516746024,IND,SF
11,Sam Hauser,0.28979730654985236,BOS,PF
12,Miles Bridges,0.3012356170715497,CHO,PF
13,Micah Peavy,0.30362363966491585,NOP,SG
14,Dalton Knecht,0.3048757603028998,LAL,SF
15,Baylor Scheierman,0.3052258705301098,BOS,SG
16,Julian Champagnie,0.3084350773652493,SAS,SF
17,Derrick Jones Jr.,0.3110912924776225,LAC,SF
18,Naji Marshall,0.3142231875213771,DAL,SF
19,Ochai Agbaji,0.3148042134101055,2TM,SG
20,Kris Murray,0.32116689007478105,POR,SF
21,De'Andre Hunter,0.32433229069305786,2TM,SF
22,Jayson Tatum,0.32591313394531857,BOS,PF
23,Jamir Watkins,0.3285232264561456,WAS,SG
24,Jamison Battle,0.3303392422721711,TOR,SF
25,Christian Braun,0.331490466894378,DEN,SG
26,Cade Cunningham,0.331490466894378,DET,PG
27,Nae'Qwan Tomlin,0.33435644140787574,CLE,PF
28,Quentin Grimes,0.3720028678289383,PHI,SG
29,Justin Champagnie,0.3780065103910769,WAS,SF
30,Svi Mykhailiuk,0.37803325279907324,UTA,SF
31,Trey Murphy III,0.3830869894525546,NOP,SF
32,Nickeil Alexander-Walker,0.39420600892440966,ATL,SG
33,Spencer Jones,0.39746156660613097,DEN,SF
34,Tari Eason,0.3980877914652709,HOU,PF
35,Jaime Jaquez Jr.,0.39841888959473354,MIA,SF
36,Pelle Larsson,0.40094841773524775,MIA,SG
37,Keegan Murray,0.4032422735474082,SAC,PF
38,Gary Trent Jr.,0.41061761747333475,MIL,SG
39,Jalen Johnson,0.41166740401586926,ATL,SF
40,Jalen Williams,0.4125397678325196,OKC,SG
41,P.J. Washington,0.41413712760267124,DAL,PF
42,Josh Green,0.41469395484704197,CHO,SG
43,Toumani Camara,0.4208139963117557,POR,PF
44,Terance Mann,0.42086767589914365,BRK,SG
45,Kevin Porter Jr.,0.4343578436964409,MIL,PG
46,Josh Giddey,0.4399258127876369,CHI,PG
47,Jaylon Tyson,0.44028874357106146,CLE,SG
48,Ryan Dunn,0.44037075813569,PHO,SF
49,Mikal Bridges,0.4460194342408234,NYK,SF
50,Deni Avdija,0.45523019613476345,POR,SF
51,Dalen Terry,0.45698190206644795,2TM,SG
52,Jaylen Brown,0.4685589743266698,BOS,SF
53,Isaiah Jackson,0.46940966483225777,2TM,C
54,Jalen Suggs,0.47183808388962656,ORL,PG
55,Jaylen Clark,0.47183808388962656,MIN,SG
56,Paul Reed,0.4719304626280416,DET,C
57,Luguentz Dort,0.4780024625057041,OKC,SF
58,Daeqwon Plowden,0.47876911928585114,SAC,SG
59,Josh Okogie,0.4801533532913089,HOU,SG
60,Rui Hachimura,0.48764345131388526,LAL,PF
61,Devin Vassell,0.48967487239065877,SAS,SG
62,Coby White,0.49893773975616873,2TM,SG
63,Ausar Thompson,0.5049394090212399,DET,SF
64,Julian Strawther,0.5056933076871984,DEN,SG
65,Cameron Johnson,0.5075751591745375,DEN,SF
66,Jonathan Kuminga,0.5088031499746366,2TM,PF
67,John Konchar,0.5098218180715286,2TM,SG
68,Moses Moody,0.5206668882677502,GSW,SG
69,Bennedict Mathurin,0.5259685002739195,2TM,SF
70,Shai Gilgeous-Alexander,0.5264213548309801,OKC,PG
71,Sion James,0.5278269437998527,CHO,SG
72,Jamal Murray,0.5333561754493847,DEN,PG
73,Luke Kennard,0.5430282660770452,2TM,SG
74,Devin Booker,0.5430282660770452,PHO,SG
75,Vince Williams Jr.,0.5439045235851099,2TM,SG
76,Pete Nance,0.5440031214370338,MIL,PF
77,Austin Reaves,0.5448034133852346,LAL,SG
78,Kobe Sanders,0.5465009415371661,LAC,SG
79,Isaac Okoro,0.5474933510260549,CHI,SG
80,Grant Williams,0.5572767106460338,CHO,PF
81,Josh Minott,0.5667895393645205,2TM,PF
82,Tyler Herro,0.5727947040667511,MIA,SG
83,Simone Fontecchio,0.5768435820196897,MIA,SF
84,Brandon Miller,0.5777300848393964,CHO,SF
85,Amen Thompson,0.5777300848393964,HOU,PG
86,Ayo Dosunmu,0.5778534366593552,2TM,SG
87,Justin Edwards,0.5798181624707888,PHI,SF
88,Olivier-Maxence Prosper,0.5827926808828561,MEM,PF
89,Jake LaRavia,0.5928102608630302,LAL,PF
90,Patrick Williams,0.5934525423666112,CHI,PF
91,Jordan Miller,0.595036314793702,LAC,SF
92,John Collins,0.6000397929659556,LAC,PF
93,Anthony Edwards,0.6011712820165168,MIN,SG
94,Dillon Brooks,0.613785927974223,PHO,SF
95,Josh Hart,0.6160495938920639,NYK,SF
96,Kelly Oubre Jr.,0.6262664283392172,PHI,SF
97,Jett Howard,0.632084483511019,ORL,SF
98,Peyton Watson,0.6325018783204224,DEN,SF
99,Kyle Kuzma,0.6335496795457077,MIL,PF
100,Shaedon Sharpe,0.6455964833911179,POR,SG
101,Kevin Huerter,0.6478870657860321,2TM,SF
102,Jordan Goodwin,0.655967310235664,PHO,PG
103,Michael Porter Jr.,0.6567282025082835,BRK,SF
104,Caleb Martin,0.6643708646974312,DAL,SF
105,Sam Merrill,0.6645829091065043,CLE,SG
106,Cedric Coward,0.6721281358073484,MEM,SG
107,Ethan Thompson,0.6804062516454941,IND,SG
108,Donte DiVincenzo,0.6851014107065428,MIN,SG
109,Scottie Barnes,0.6868183408709343,TOR,PF
110,Anthony Black,0.6884213876798991,ORL,PG
111,Gradey Dick,0.6884213876798991,TOR,SG
112,Duncan Robinson,0.6962534650963835,DET,SG
113,OG Anunoby,0.6963267292228427,NYK,PF
114,Bruce Brown,0.6965095776665662,DEN,SG
115,Jahmai Mashack,0.6972004877011578,MEM,SG
116,Dean Wade,0.6974295009035446,CLE,PF
117,Jerami Grant,0.6978039855979463,POR,PF
118,Ben Sheppard,0.6978470104180119,IND,SG
119,Aaron Wiggins,0.6982607353109307,OKC,SG
120,Jordan Poole,0.6992332301847675,NOP,PG
121,Taurean Prince,0.7013294694976637,MIL,SF
122,Dyson Daniels,0.7025065505936421,ATL,SG
123,Cam Spencer,0.7055065661316885,MEM,SG
124,Kenrich Williams,0.7069279798958347,OKC,PF
125,Caleb Love,0.7090014689069194,POR,SG
126,Jabari Walker,0.7115741751226567,PHI,PF
127,Franz Wagner,0.7135329073403777,ORL,SF
128,Cam Thomas,0.7158939817704987,2TM,SG
129,Noah Penda,0.7159910494015387,ORL,SF
130,Stephon Castle,0.7165229218106125,SAS,PG
131,Andrew Wiggins,0.7176284715357775,MIA,SF
132,Zach LaVine,0.7212467608278248,SAC,SG
133,Sidy Cissoko,0.7282456988555432,POR,SF
134,Taylor Hendricks,0.7299766155521319,2TM,PF
135,Kam Jones,0.7329415149388923,IND,SG
136,Kyshawn George,0.7349901918838403,WAS,SF
137,Brandon Ingram,0.7357753681505139,TOR,SF
138,Lonzo Ball,0.7373270213058287,CLE,PG
139,Landry Shamet,0.7373270213058287,NYK,SG
140,Caris LeVert,0.7393513585454189,DET,SG
141,Anfernee Simons,0.7444036711949837,2TM,SG
142,Malik Monk,0.7556274875676934,SAC,SG
143,Andrew Nembhard,0.7579644018745695,IND,PG
144,Rayan Rupert,0.7579674970256655,2TM,SG
145,Jordan Walsh,0.7584699342783818,BOS,PF
146,Precious Achiuwa,0.7617844182366167,SAC,C
147,Dominick Barlow,0.7657223430904752,PHI,PF
148,Bryce McGowens,0.7667433719599208,NOP,SG
149,Jarace Walker,0.7697278155076563,IND,PF
150,Brice Sensabaugh,0.7702225812212267,UTA,SF
151,Brandin Podziemski,0.7736581779194759,GSW,SG
152,Sandro Mamukelashvili,0.7820315836256246,TOR,C
153,Jonathan Isaac,0.7922107277753915,ORL,PF
154,Aaron Gordon,0.7977894766070799,DEN,PF
155,Jalen Smith,0.7995657284100889,CHI,C
156,Will Richard,0.8052146007166134,GSW,SG
157,Jordan Hawkins,0.8097566319015836,NOP,SG
158,Marvin Bagley III,0.8169212483717976,2TM,PF
159,Nic Claxton,0.8219219426394577,BRK,C
160,Trendon Watford,0.8228978516052498,PHI,PF
161,Elijah Harkless,0.8290180846453393,UTA,SG
162,Gary Harris,0.8385573219237836,MIL,SG
163,Dorian Finney-Smith,0.8454446760829142,HOU,PF
164,Johnny Furphy,0.8482980289046389,IND,SG
165,Jarrett Allen,0.8546851110818234,CLE,C
166,Isaiah Collier,0.8550161854119394,UTA,PG
167,Kon Knueppel,0.8555998297975156,CHO,SF
168,Carter Bryant,0.8654407947231972,SAS,PF
169,Leonard Miller,0.8661328503407008,2TM,SF
170,Evan Mobley,0.8715644290630715,CLE,PF
171,Gui Santos,0.8727466256026343,GSW,PF
172,Bilal Coulibaly,0.8740973609166501,WAS,SG
173,Royce O'Neale,0.882037658543782,PHO,SF
174,Jaden Hardy,0.8829326932921429,2TM,SG
175,Jalen Pickett,0.8875469588328017,DEN,SG
176,Ajay Mitchell,0.8891370519666534,OKC,SG
177,Max Christie,0.8921086026909385,DAL,SG
178,Jaylin Williams,0.8924949414416492,OKC,PF
179,Kobe Brown,0.8926869301554795,2TM,PF
180,Jaden McDaniels,0.8937255860776887,MIN,PF
181,Matas Buzelis,0.8975716839653115,CHI,PF
182,Collin Sexton,0.9079285945639654,2TM,SG
183,Javonte Green,0.910101017876931,DET,SG
184,Zeke Nnaji,0.9134374011747914,DEN,PF
185,Onyeka Okongwu,0.9134374011747914,ATL,C
186,De'Anthony Melton,0.9164762811189785,GSW,PG
187,Kentavious Caldwell-Pope,0.9173289012388043,MEM,SG
188,Dru Smith,0.9191828498477608,MIA,SG
189,Tyrese Maxey,0.9195127149129325,PHI,PG
190,Jaden Ivey,0.9218643468904648,2TM,SG
191,Donovan Mitchell,0.9223134810446055,CLE,SG
192,Ziaire Williams,0.9275793034094452,BRK,SF
193,LaMelo Ball,0.931262527025196,CHO,PG
194,Mouhamed Gueye,0.9356857290800342,ATL,PF
195,Moussa Cisse,0.9367316600418351,DAL,C
196,Jaren Jackson Jr.,0.9374069543072804,2TM,C
197,Grayson Allen,0.9473239471475334,PHO,SG
198,Marcus Smart,0.9523886735735921,LAL,SG
199,Kyle Anderson,0.9542964009561347,3TM,SF
200,Pat Spencer,0.9552662984952697,GSW,PG
201,Micah Potter,0.9623654378937043,IND,C
202,Noah Clowney,0.9631337699388706,BRK,PF
203,Jalen Green,0.9631479894744767,PHO,SG
204,Luka Garza,0.964816145112492,BOS,C
205,Zaccharie Risacher,0.968635905339574,ATL,SF
206,Isaiah Stewart,0.9732653310565201,DET,C
207,Kris Dunn,0.9756941266882364,LAC,PG
208,Miles McBride,0.9778685282566544,NYK,SG
209,Scoot Henderson,0.978399826853153,POR,PG
210,Cody Williams,0.9863929129421645,UTA,SG
211,Domantas Sabonis,0.9900536339840765,SAC,C
212,Keaton Wallace,0.9909850893231532,ATL,PG
213,Thomas Bryant,0.9910753341311171,CLE,C
214,Cason Wallace,0.9949803164657907,OKC,SG
215,Gabe Vincent,0.9956615615693271,2TM,PG
216,Adem Bona,0.9962359684526797,PHI,C
217,Mohamed Diawara,0.9983482241012632,NYK,SF
218,Harrison Barnes,1.0079417156210484,SAS,PF
219,Jabari Smith Jr.,1.0087706176387743,HOU,PF
220,Tyler Kolek,1.008902770071764,NYK,PG
221,Santi Aldama,1.0160940642891427,MEM,PF
222,Jaxson Hayes,1.024394381039456,LAL,C
223,Drake Powell,1.0253118973034503,BRK,SG
224,De'Aaron Fox,1.0271176190733355,SAS,PG
225,Dylan Harper,1.0284719014512038,SAS,SG
226,Drew Eubanks,1.0302367284933858,SAC,C
227,Immanuel Quickley,1.0375230756149043,TOR,PG
228,Tim Hardaway Jr.,1.0395200731918246,DEN,SG
229,Derrick White,1.040308282087665,BOS,SG
230,Alex Caruso,1.0413797481983262,OKC,SG
231,Tobias Harris,1.0468205249281914,DET,PF
232,Anthony Gill,1.0472407390641447,WAS,PF
233,Ousmane Dieng,1.0495047730693015,2TM,C
234,Norman Powell,1.0503230918942636,MIA,SG
235,Keyonte George,1.0513181449874005,UTA,PG
236,Rasheer Fleming,1.0564554606151486,PHO,PF
237,Devin Carter,1.0577285795295461,SAC,PG
238,Oso Ighodaro,1.0581900553890466,PHO,PF
239,Ben Saraf,1.063307968314251,BRK,SG
240,Pascal Siakam,1.0636730645153751,IND,PF
241,Asa Newell,1.0715554345841742,ATL,PF
