Rank,Player,basic_v3,team,pos,minutes,minutes_per_game
1,Tyrese Martin,0.24631735253001355,2TM,SG,777.0,16.9
2,Naji Marshall,0.2823702588118545,DAL,SF,2184.0,29.5
3,Jaylon Tyson,0.35953939570273685,CLE,SG,1777.0,26.9
4,Miles Bridges,0.3623541361557054,CHO,PF,2387.0,31.0
5,De'Andre Hunter,0.3755285361364067,2TM,SF,1176.0,26.1
6,Saddiq Bey,0.3780107710003836,NOP,SF,2246.0,31.2
7,Corey Kispert,0.3855108790919945,2TM,SF,1080.0,18.6
8,Christian Braun,0.39337609483209657,DEN,SG,1399.0,31.8
9,Quentin Grimes,0.3967258260840541,PHI,SG,2206.0,29.4
10,Kyle Kuzma,0.4035583128716857,MIL,PF,1806.0,26.2
11,Aaron Nesmith,0.41206448410467533,IND,SF,1335.0,29.7
12,Jalen Wilson,0.4273347214285283,BRK,PF,859.0,15.9
13,Simone Fontecchio,0.4279341130723767,MIA,SF,1173.0,16.8
14,Desmond Bane,0.43289026527516034,ORL,SG,2756.0,33.6
15,Sam Hauser,0.43330288859507926,BOS,PF,1934.0,24.8
16,Pelle Larsson,0.4391585387485347,MIA,SG,1849.0,26.4
17,Jordan Miller,0.44507248978051095,LAC,SF,1325.0,22.1
18,Kevin Huerter,0.4473377433666219,2TM,SF,1549.0,22.4
19,RJ Barrett,0.45316602746783163,TOR,SF,1726.0,30.3
20,Keldon Johnson,0.45687563333608866,SAS,SF,1911.0,23.3
21,Toumani Camara,0.458958907506355,POR,PF,2731.0,33.3
22,Mikal Bridges,0.4620531688034295,NYK,SF,2692.0,32.8
23,Julian Champagnie,0.47020582958944235,SAS,SF,2266.0,27.6
24,Jarace Walker,0.47356862376190617,IND,PF,1953.0,25.7
25,Devin Vassell,0.47734108907078665,SAS,SG,2044.0,30.5
26,Trey Murphy III,0.4808684133165566,NOP,SF,2341.0,35.5
27,Jamir Watkins,0.48951673629677445,WAS,SG,1032.0,20.6
28,Baylor Scheierman,0.4899096792417962,BOS,SG,1429.0,18.6
29,Ausar Thompson,0.4933284465785484,DET,SF,1896.0,26.0
30,Gui Santos,0.49823916442939564,GSW,PF,1395.0,20.5
31,Jaime Jaquez Jr.,0.5032385051771113,MIA,SF,2121.0,28.3
32,Julian Strawther,0.5051405358470102,DEN,SG,861.0,15.1
33,Nae'Qwan Tomlin,0.5157370274370221,CLE,PF,1004.0,15.7
34,Andrew Wiggins,0.518899701798041,MIA,SF,2063.0,30.3
35,Jonathan Kuminga,0.5193732666013091,2TM,PF,830.0,23.1
36,P.J. Washington,0.5195117535138596,DAL,PF,1736.0,31.0
37,Brandin Podziemski,0.5195567207665734,GSW,SG,2333.0,28.5
38,Cameron Johnson,0.5257305955385054,DEN,SF,1647.0,30.5
39,Peyton Watson,0.5262998794132907,DEN,SF,1598.0,29.6
40,Jamison Battle,0.5282133388856327,TOR,SF,517.0,8.5
41,Cedric Coward,0.5317373891397753,MEM,SG,1598.0,25.8
42,Derrick Jones Jr.,0.533121801863639,LAC,SF,1350.0,27.0
43,Herbert Jones,0.5350084702187545,NOP,SF,1588.0,28.4
44,Kenrich Williams,0.5363405850823227,OKC,PF,855.0,15.3
45,Bilal Coulibaly,0.537656834982854,WAS,SG,1468.0,26.2
46,Keegan Murray,0.5394458787227777,SAC,PF,793.0,34.5
47,Grant Williams,0.5421336706471531,CHO,PF,711.0,19.8
48,Svi Mykhailiuk,0.5431901557101129,UTA,SF,1156.0,23.1
49,Jordan Goodwin,0.5432713096170181,PHO,PG,1572.0,22.5
50,Josh Minott,0.5493223992209728,2TM,PF,834.0,17.0
51,Bennedict Mathurin,0.5511923962769179,2TM,SF,1620.0,30.0
52,Amen Thompson,0.5520124551937544,HOU,PG,2953.0,37.4
53,Moses Moody,0.5529636152961483,GSW,SG,1540.0,25.7
54,Dalton Knecht,0.5562337216086111,LAL,SF,553.0,10.2
55,Dalen Terry,0.5605700162998276,2TM,SG,551.0,11.5
56,Ayo Dosunmu,0.5685033988746269,2TM,SG,1881.0,27.3
57,Tari Eason,0.5719073440406627,HOU,PF,1549.0,25.8
58,Anthony Black,0.5727583564678169,ORL,PG,1910.0,29.8
59,Aaron Wiggins,0.5756934680733704,OKC,SG,1414.0,21.8
60,Ochai Agbaji,0.587845336697878,2TM,SG,973.0,15.7
61,Donte DiVincenzo,0.5879180321022048,MIN,SG,2494.0,30.4
62,Luke Kennard,0.5881863580082303,2TM,SG,1681.0,21.6
63,Pete Nance,0.5909679090016511,MIL,PF,737.0,15.7
64,Terance Mann,0.5939937567141287,BRK,SG,1529.0,24.3
65,OG Anunoby,0.5964857787294144,NYK,PF,2224.0,33.2
66,Kobe Sanders,0.5987496159406669,LAC,SG,1351.0,19.9
67,Olivier-Maxence Prosper,0.6105487892971961,MEM,PF,984.0,18.6
68,Kyshawn George,0.6152078480125485,WAS,SF,1391.0,29.0
69,Ryan Dunn,0.615680063892063,PHO,SF,1355.0,19.4
70,Kelly Oubre Jr.,0.6158732036650734,PHI,SF,1574.0,31.5
71,Nickeil Alexander-Walker,0.6174332225337958,ATL,SG,2603.0,33.4
72,Taurean Prince,0.6213408432263612,MIL,SF,611.0,23.5
73,Sandro Mamukelashvili,0.6224871909009955,TOR,C,1751.0,21.9
74,Justin Champagnie,0.6235834790600879,WAS,SF,1377.0,20.0
75,Tobias Harris,0.6239045461260796,DET,PF,1746.0,27.7
76,Micah Peavy,0.6245212942845014,NOP,SG,913.0,15.0
77,Caleb Love,0.6279962126336033,POR,SG,1013.0,20.7
78,Jett Howard,0.6309958173981871,ORL,SF,695.0,12.6
79,Jaden Ivey,0.6342789338523311,2TM,SG,670.0,18.1
80,Jake LaRavia,0.6388651318870917,LAL,PF,2061.0,25.1
81,Daeqwon Plowden,0.6501254427796399,SAC,SG,844.0,26.4
82,Bruce Brown,0.6524189102359166,DEN,SG,1998.0,24.4
83,Jaden McDaniels,0.6595338829846397,MIN,PF,2316.0,31.7
84,Justin Edwards,0.6599677186675799,PHI,SF,977.0,15.3
85,Tyler Herro,0.6608774630524437,MIA,SG,1033.0,31.3
86,Sam Merrill,0.6619405613442572,CLE,SG,1377.0,26.5
87,Patrick Williams,0.667250283392518,CHI,PF,1474.0,20.5
88,De'Anthony Melton,0.6682026799181775,GSW,PG,1125.0,23.0
89,Aaron Gordon,0.6748994334352795,DEN,PF,1005.0,27.9
90,VJ Edgecombe,0.6763722242334183,PHI,SG,2623.0,35.0
91,Royce O'Neale,0.6771672619160785,PHO,SF,2213.0,28.4
92,John Collins,0.6795956459946257,LAC,PF,1872.0,27.1
93,Kris Murray,0.6806072307164929,POR,SF,1333.0,23.4
94,Jarred Vanderbilt,0.6820741129472464,LAL,PF,1128.0,17.4
95,Kobe Brown,0.6879475050068206,2TM,PF,963.0,15.8
96,Onyeka Okongwu,0.6883258757694785,ATL,C,2297.0,31.0
97,Khris Middleton,0.690487344810135,2TM,SF,1439.0,22.8
98,Gradey Dick,0.6997313784633817,TOR,SG,1067.0,14.0
99,Ben Sheppard,0.7016300695563906,IND,SG,1390.0,21.4
100,Trendon Watford,0.7026524463270326,PHI,PF,864.0,16.3
101,Duncan Robinson,0.7040467643058832,DET,SG,2113.0,27.4
102,Ousmane Dieng,0.7044730191951408,2TM,C,1099.0,19.3
103,Mohamed Diawara,0.7048827413733691,NYK,SF,634.0,9.2
104,Matas Buzelis,0.7087817429765249,CHI,PF,2248.0,29.2
105,Kon Knueppel,0.712055436048419,CHO,SF,2551.0,31.5
106,Jaylen Clark,0.7168804959111446,MIN,SG,888.0,13.1
107,Buddy Hield,0.7171947157443486,2TM,SG,819.0,16.1
108,Santi Aldama,0.7180881912954578,MEM,PF,1198.0,27.9
109,Luguentz Dort,0.7216012485335153,OKC,SF,1849.0,26.8
110,Taylor Hendricks,0.7219809053600583,2TM,PF,1118.0,18.9
111,Josh Hart,0.7231308383777431,NYK,SF,1994.0,30.2
112,Sion James,0.7246159296740406,CHO,SG,1843.0,22.5
113,Rui Hachimura,0.7287732809613923,LAL,PF,1927.0,28.3
114,Nic Claxton,0.7323220484783708,BRK,C,1920.0,27.8
115,Noah Clowney,0.7324337708955188,BRK,PF,1780.0,27.0
116,Josh Green,0.7327809033096215,CHO,SG,908.0,15.7
117,Devin Carter,0.7343915259089389,SAC,PG,700.0,18.4
118,Brandon Ingram,0.734632403733031,TOR,SF,2604.0,33.8
119,Ajay Mitchell,0.7371837102915244,OKC,SG,1473.0,25.8
120,Jalen Suggs,0.7394325606986532,ORL,PG,1574.0,27.6
121,Brandon Miller,0.7419351574387494,CHO,SF,1968.0,30.3
122,Tre Mann,0.7424149901131925,CHO,PG,669.0,12.6
123,Josh Okogie,0.7444876342593023,HOU,SG,1354.0,17.4
124,Caris LeVert,0.745834942158599,DET,SG,1154.0,19.2
125,Ethan Thompson,0.7469069601503853,IND,SG,653.0,20.4
126,Jalen Williams,0.7527601478170125,OKC,SG,936.0,28.4
127,Isaac Okoro,0.7531446179606176,CHI,SG,1695.0,26.9
128,Caleb Martin,0.7638295437374225,DAL,SF,856.0,14.8
129,Anfernee Simons,0.7700260793763302,2TM,SG,1372.0,24.9
130,John Konchar,0.772473770561597,2TM,SG,1115.0,19.9
131,Gary Trent Jr.,0.7772478625632158,MIL,SG,1377.0,21.2
132,Brice Sensabaugh,0.7783949245114491,UTA,SF,1762.0,23.5
133,Bryce McGowens,0.778420984361178,NOP,SG,880.0,21.0
134,Kentavious Caldwell-Pope,0.7786611578346854,MEM,SG,1088.0,21.3
135,Jordan Hawkins,0.7791501892054467,NOP,SG,692.0,13.6
136,Jordan Poole,0.7796233358178346,NOP,PG,933.0,23.9
137,Spencer Jones,0.7818723725256852,DEN,SF,1417.0,22.1
138,Dyson Daniels,0.7829529894964584,ATL,SG,2520.0,33.2
139,Rayan Rupert,0.783972471831655,2TM,SG,1072.0,16.8
140,Noah Penda,0.7870325590530354,ORL,SF,757.0,12.8
141,Scottie Barnes,0.787562489801315,TOR,PF,2681.0,33.5
142,Jerami Grant,0.790529778215582,POR,PF,1695.0,29.7
143,Carter Bryant,0.7925190943231619,SAS,PF,818.0,11.5
144,Jahmai Mashack,0.7938652511727227,MEM,SG,673.0,21.7
145,Alex Caruso,0.7946339700319733,OKC,SG,1020.0,18.2
146,Jabari Smith Jr.,0.796553102611127,HOU,PF,2705.0,35.1
147,Dominick Barlow,0.8002234218039348,PHI,PF,1689.0,23.8
148,Coby White,0.8017487027473743,2TM,SG,1249.0,25.0
149,Franz Wagner,0.8021253421101739,ORL,SF,1019.0,30.0
150,Vince Williams Jr.,0.8039660627381633,2TM,SG,820.0,20.5
151,Leonard Miller,0.8047177516489703,2TM,SF,719.0,15.6
152,Zaccharie Risacher,0.8049146056568256,ATL,SF,1503.0,22.4
153,Max Christie,0.807871097127933,DAL,SG,2244.0,29.1
