Rank,Player,basic_v4,team,pos,minutes,minutes_per_game
1,Jaden Ivey,0.2829853480846094,2TM,SG,670.0,18.1
2,Jaylon Tyson,0.31370495971701,CLE,SG,1777.0,26.9
3,Kyle Kuzma,0.3610918935869678,MIL,PF,1806.0,26.2
4,VJ Edgecombe,0.36983629739161583,PHI,SG,2623.0,35.0
5,Kevin Huerter,0.37517923812441034,2TM,SF,1549.0,22.4
6,Brandin Podziemski,0.4023371546117262,GSW,SG,2333.0,28.5
7,Toumani Camara,0.41320374782550956,POR,PF,2731.0,33.3
8,Jaden McDaniels,0.42115638876285827,MIN,PF,2316.0,31.7
9,Noah Clowney,0.4265714392376951,BRK,PF,1780.0,27.0
10,Kenrich Williams,0.4287129664298198,OKC,PF,855.0,15.3
11,Quentin Grimes,0.43190203595124116,PHI,SG,2206.0,29.4
12,Andrew Wiggins,0.43432602573647044,MIA,SF,2063.0,30.3
13,Donte DiVincenzo,0.44689105922802413,MIN,SG,2494.0,30.4
14,Jordan Miller,0.44869782831557864,LAC,SF,1325.0,22.1
15,Santi Aldama,0.4499391937469909,MEM,PF,1198.0,27.9
16,Cedric Coward,0.4523679262635132,MEM,SG,1598.0,25.8
17,Onyeka Okongwu,0.4579969784609785,ATL,C,2297.0,31.0
18,Amen Thompson,0.46401726953839323,HOU,PG,2953.0,37.4
19,Royce O'Neale,0.46890524229036695,PHO,SF,2213.0,28.4
20,Aaron Wiggins,0.47906793065612985,OKC,SG,1414.0,21.8
21,Naji Marshall,0.48252838714810015,DAL,SF,2184.0,29.5
22,Jarace Walker,0.49138049544857737,IND,PF,1953.0,25.7
23,Will Riley,0.5013964942402709,WAS,SF,1633.0,22.1
24,Mohamed Diawara,0.5043472143843604,NYK,SF,634.0,9.2
25,Tobias Harris,0.5043841763969136,DET,PF,1746.0,27.7
26,Dylan Harper,0.5058292238985885,SAS,SG,1558.0,22.6
27,Simone Fontecchio,0.5126397800358826,MIA,SF,1173.0,16.8
28,Egor Dëmin,0.5154353317112176,BRK,PG,1308.0,25.2
29,Ace Bailey,0.5179247709522462,UTA,SF,1988.0,27.6
30,Gui Santos,0.521840703105366,GSW,PF,1395.0,20.5
31,Buddy Hield,0.5285444818079668,2TM,SG,819.0,16.1
32,Peyton Watson,0.5360989500143091,DEN,SF,1598.0,29.6
