Rank,Player,basic_v5,team,pos,minutes,minutes_per_game
1,Kyle Kuzma,0.3778961620683566,MIL,PF,1806.0,26.2
2,Jaden Ivey,0.3839202211668459,2TM,SG,670.0,18.1
3,Cedric Coward,0.3880155444714493,MEM,SG,1598.0,25.8
4,Andrew Wiggins,0.39431724623157804,MIA,SF,2063.0,30.3
5,Jaylon Tyson,0.4071771543970771,CLE,SG,1777.0,26.9
6,Quentin Grimes,0.42305064914496815,PHI,SG,2206.0,29.4
7,Kenrich Williams,0.42330536595366797,OKC,PF,855.0,15.3
8,Aaron Wiggins,0.42673535187819567,OKC,SG,1414.0,21.8
9,VJ Edgecombe,0.43821555580904653,PHI,SG,2623.0,35.0
10,Will Riley,0.44205504958835,WAS,SF,1633.0,22.1
11,Kevin Huerter,0.4490064150464655,2TM,SF,1549.0,22.4
12,Jarace Walker,0.4640057033293915,IND,PF,1953.0,25.7
13,Kelly Oubre Jr.,0.4642745082726763,PHI,SF,1574.0,31.5
14,Anthony Black,0.46455361941720447,ORL,PG,1910.0,29.8
15,Jaden McDaniels,0.47608657455238457,MIN,PF,2316.0,31.7
16,Brandin Podziemski,0.4841175741276149,GSW,SG,2333.0,28.5
17,Santi Aldama,0.5093803926031004,MEM,PF,1198.0,27.9
18,Peyton Watson,0.5095965099675562,DEN,SF,1598.0,29.6
19,Ayo Dosunmu,0.512131423833315,2TM,SG,1881.0,27.3
20,Tristan Da Silva,0.5123042001324193,ORL,SF,1899.0,24.7
21,Quenton Jackson,0.5135698696070548,IND,PG,897.0,18.3
22,Desmond Bane,0.5149299333565727,ORL,SG,2756.0,33.6
23,Jase Richardson,0.5237571682006141,ORL,SG,587.0,10.9
24,Onyeka Okongwu,0.5262428877670356,ATL,C,2297.0,31.0
25,Kobe Brown,0.5431998266009727,2TM,PF,963.0,15.8
26,Naz Reid,0.5446129732804726,MIN,C,2007.0,26.1
27,Nique Clifford,0.5501873664289028,SAC,SG,1882.0,25.1
28,GG Jackson II,0.5533708385995038,MEM,PF,1178.0,21.4
29,Nickeil Alexander-Walker,0.5542164273441025,ATL,SG,2603.0,33.4
30,Terance Mann,0.5557858680055685,BRK,SG,1529.0,24.3
